0000135 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.320462 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4007804c8) size: 301500
0000136 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.320467 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 263400
0000137 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.320473 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 263400 ig: 0
0000138 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.320479 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 263400
0000139 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.320484 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000140 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.320490 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (33, 32733)
0000141 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.320496 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 2 extent: (31, 2) 0x7ed78c0d94c8
0000142 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.320502 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4008004c8) size: 263400
0000143 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.320507 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 272880
0000144 | T.0x00007f54e41f2700 | 2019-06-21, 02:36:35.320512 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 272880 ig: 0
